source,target
HRS2008Q117,HRS2010Q162
HRS2008Q818,HRS2010Q908
HRS2008Q943,HRS2010Q1032
HRS2008Q821,HRS2010Q907
HRS2008Q946,HRS2010Q1035
HRS2008Q1309,HRS2010Q1332
HRS2008Q1325,HRS2010Q1348
HRS2008Q1472,HRS2010Q1512
HRS2008Q1482,HRS2010Q1523
HRS2008Q1510,HRS2010Q1552
HRS2008Q1492,HRS2010Q1534
HRS2008Q1520,HRS2010Q1562
HRS2008Q900,HRS2010Q989
HRS2008Q805,HRS2010Q894
HRS2008Q948,HRS2010Q1037
HRS2008Q511,HRS2010Q602
HRS2008Q638,HRS2010Q728
HRS2008Q765,HRS2010Q854
HRS2008Q891,HRS2010Q980
HRS2008Q766,HRS2010Q855
HRS2008Q892,HRS2010Q981
HRS2008Q529,HRS2010Q620
HRS2008Q656,HRS2010Q746
HRS2008Q783,HRS2010Q872
HRS2008Q908,HRS2010Q997
HRS2008Q817,HRS2010Q906
HRS2008Q942,HRS2010Q1031
HRS2008Q351,HRS2010Q417
HRS2008Q344,HRS2010Q410
HRS2008Q224,HRS2010Q290
HRS2008Q306,HRS2010Q373
HRS2008Q359,HRS2010Q425
HRS2008Q239,HRS2010Q305
HRS2008Q293,HRS2010Q360
HRS2008Q346,HRS2010Q412
