column_id,column_description
HRS2010Q1,HOUSEHOLD IDENTIFICATION NUMBER ... 22034 000003-959738. Household Identification Number
HRS2010Q2,RESPONDENT PERSON IDENTIFICATION NUMBER ... 12326 010. Person Identifier 625 011. Person Identifier 29 012. Person Identifier 1 013. Person Identifier 7141 020. Person Identifier 177 021. Person Identifier 9 022. Person Identifier 1 023. Person Identifier 633 030. Person Identifier 45 031. Person Identifier 7 032. Person Identifier 975 040. Person Identifier 58 041. Person Identifier 6 042. Person Identifier 1 043. Person Identifier
HRS2010Q3,2010 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 20699 0. Original sample household - no split from divorce or separation of spouses or partners 672 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 503 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 52 5. Split household - one half of couple from Q3 1 or 2 6 6. Split household - one half of couple from Q3 1 or 2 101 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2
HRS2010Q4,2008 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 14544 0. Original sample household - no split from divorce or separation of spouses or partners 610 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 471 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 39 5. Split household - one half of couple from Q3 1 or 2 6 6. Split household - one half of couple from Q3 1 or 2 69 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2 6294 Blank. NEW COHORT HH
HRS2010Q5,2010 SPOUSE/PARTNER PERSON NUMBER ... 6364 010. Person Identifier 598 011. Person Identifier 28 012. Person Identifier 013. Person Identifier 6051 020. Person Identifier 155 021. Person Identifier 8 022. Person Identifier 1 023. Person Identifier 461 030. Person Identifier 41 031. Person Identifier 6 032. Person Identifier 733 040. Person Identifier 63 041. Person Identifier 6 042. Person Identifier 1 043. Person Identifier 37 811. Spouse of Non-Original Respondent 4 812. Spouse of Non-Original Respondent 8 821. Spouse of Non-Original Respondent 2 822. Spouse of Non-Original Respondent 4 831. Spouse of Non-Original Respondent 4 841. Spouse of Non-Original Respondent 1 842. Spouse of Non-Original Respondent 7458 Blank. Single Respondent Household
HRS2010Q6,2010 WHETHER COVERSHEET RESPONDENT ... 15280 1. Yes 18 3. 2nd Coverscreen R\, answers not retained 6736 5. No
HRS2010Q7,2010 WHETHER FAMILY RESPONDENT ... 14977 1. Family R 14 3. 2nd Family R\, answers not retained 7043 5. Non-Family R
HRS2010Q8,2010 WHETHER FINANCIAL RESPONDENT ... 15130 1. Financial R 14 3. 2nd Financial R\, answers not retained 6890 5. Non-Financial R
HRS2010Q9,Ref: SecJ.todaymonth ... 1752 1. JAN 1153 2. FEB 1691 3. MAR 2187 4. APR 1824 5. MAY 1674 6. JUN 1525 7. JUL 1674 8. AUG 1783 9. SEP 1804 10. OCT 2630 11. NOV 2337 12. DEC
HRS2010Q10,Ref: SecJ.todayyear ... 22034 2010-2011. Actual Value
HRS2010Q11,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus[1] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? Do not probe but choose all that apply ... 7882 1. WORKING NOW 891 2. UNEMPLOYED AND LOOKING FOR WORK 246 3. TEMPORARILY LAID OFF\, ON SICK OR OTHER LEAVE 2461 4. DISABLED 8599 5. RETIRED 1592 6. HOMEMAKER 159 7. OTHER (SPECIFY) 4 8. DK (Don't Know); NA (Not Ascertained) 14 9. RF (Refused) 186 Blank. INAP (Inapplicable); Partial Interview
HRS2010Q12,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus[2] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? Do not probe but choose all that apply ... 266 1. WORKING NOW 52 2. UNEMPLOYED AND LOOKING FOR WORK 36 3. TEMPORARILY LAID OFF\, ON SICK OR OTHER LEAVE 171 4. DISABLED 607 5. RETIRED 546 6. HOMEMAKER 65 7. OTHER (SPECIFY) 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 20291 Blank. INAP (Inapplicable); Partial Interview
HRS2010Q13,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus[3] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? Do not probe but choose all that apply ... 6 1. WORKING NOW 3 2. UNEMPLOYED AND LOOKING FOR WORK 1 3. TEMPORARILY LAID OFF\, ON SICK OR OTHER LEAVE 7 4. DISABLED 4 5. RETIRED 22 6. HOMEMAKER 13 7. OTHER (SPECIFY) 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 21978 Blank. INAP (Inapplicable); Partial Interview
HRS2010Q14,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus[4] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? Do not probe but choose all that apply ... 1. WORKING NOW 2. UNEMPLOYED AND LOOKING FOR WORK 3. TEMPORARILY LAID OFF\, ON SICK OR OTHER LEAVE 4. DISABLED 5. RETIRED 1 6. HOMEMAKER 7. OTHER (SPECIFY) 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 22033 Blank. INAP (Inapplicable); Partial Interview
HRS2010Q15,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus[5] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? Do not probe but choose all that apply. ... 1. WORKING NOW 2. UNEMPLOYED AND LOOKING FOR WORK 3. TEMPORARILY LAID OFF\, ON SICK OR OTHER LEAVE 4. DISABLED 5. RETIRED 6. HOMEMAKER 7. OTHER (SPECIFY) 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 22034 Blank. INAP (Inapplicable); Partial Interview
HRS2010Q16,Ref: SecJ.Q16_3Wave * ... 22034 0. Ask This Wave
HRS2010Q17,Ref: SecJ.Q17_4Wave * ... 22034 1. Ask this wave
HRS2010Q18,Ref: SecJ.WORKSTATUS.Q18_ In what month and year did you become unemployed? Month entered must be before or in [System Month]\, [System Date] Month: ... 91 1. JAN 67 2. FEB 66 3. MAR 89 4. APR 72 5. MAY 80 6. JUN 77 7. JUL 84 8. AUG 75 9. SEP 70 10. OCT 69 11. NOV 67 12. DEC 37 98. DK (Don't Know); NA (Not Ascertained) 2 99. RF (Refused) 21088 Blank. INAP (Inapplicable); Partial Interview
HRS2010Q19,Ref: SecJ.WORKSTATUS.Q19_ (In what month and year did you become unemployed?) Month entered must be before or in [System Month]\, [System Date] Year: ... 932 1970-2011. Actual Value 12 9998. DK (Don't Know); NA (Not Ascertained) 2 9999. RF (Refused) 21088 Blank. INAP (Inapplicable); Partial Interview
HRS2010Q20,Ref: SecJ.WORKSTATUS.Q20_ Do you expect to go back to this job? ... 165 1. YES 96 5. NO 22 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 21751 Blank. INAP (Inapplicable); Partial Interview
HRS2010Q21,Ref: SecJ.WORKSTATUS.Q21_ In what month and year did you last work on this job? Month entered must be before or in [System Month]\, [System Date] Month: ... 11 1. JAN 9 2. FEB 9 3. MAR 20 4. APR 15 5. MAY 21 6. JUN 14 7. JUL 14 8. AUG 10 9. SEP 14 10. OCT 15 11. NOV 12 12. DEC 9 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 21861 Blank. INAP (Inapplicable); Partial Interview
HRS2010Q22,Ref: SecJ.WORKSTATUS.Q22_ (In what month and year did you last work on this job?) Month entered must be before or in [System Month]\, [System Date] Year: ... 164 2001-2011. Actual Value 9 9998. DK (Don't Know); NA (Not Ascertained) 9999. RF (Refused) 21861 Blank. INAP (Inapplicable); Partial Interview
HRS2010Q23,Ref: SecJ.WORKSTATUS.Q23_ In what month and year did you become disabled? Month entered must be before or in [System Month]\, [System Date] Month: ... 138 1. JAN 116 2. FEB 117 3. MAR 102 4. APR 104 5. MAY 168 6. JUN 105 7. JUL 107 8. AUG 107 9. SEP 104 10. OCT 94 11. NOV 89 12. DEC 407 98. DK (Don't Know); NA (Not Ascertained) 4 99. RF (Refused) 20272 Blank. INAP (Inapplicable); Partial Interview
HRS2010Q24,Ref: SecJ.WORKSTATUS.Q24_ (In what month and year did you become disabled?) Month entered must be before or in [System Month]\, [System Date] Year: ... 1611 1945-2011. Actual Value 148 9998. DK (Don't Know); NA (Not Ascertained) 3 9999. RF (Refused) 20272 Blank. INAP (Inapplicable); Partial Interview
HRS2010Q25,Ref: SecJ.WORKSTATUS.Q25_ In what month and year did you retire? Month: ... 122 1. JAN 75 2. FEB 92 3. MAR 88 4. APR 106 5. MAY 171 6. JUN 106 7. JUL 92 8. AUG 100 9. SEP 86 10. OCT 88 11. NOV 115 12. DEC 176 98. DK (Don't Know); NA (Not Ascertained) 4 99. RF (Refused) 20613 Blank. INAP (Inapplicable); Partial Interview
HRS2010Q26,Ref: SecJ.WORKSTATUS.Q26_YrRetired (In what month and year did you retire?) Year: ... 1340 1944-2011. Actual Value 78 9998. DK (Don't Know); NA (Not Ascertained) 3 9999. RF (Refused) 20613 Blank. INAP (Inapplicable); Partial Interview
HRS2010Q27,Ref: SecJ.WORKSTATUS.Q27_WorkforPay Are you doing any work for pay at the present time? ... 8856 1. YES 12970 5. NO 2 8. DK (Don't Know); NA (Not Ascertained) 19 9. RF (Refused) 187 Blank. INAP (Inapplicable); Partial Interview
HRS2010Q28,Ref: SecJ.WORKSTATUS.Q28_EmpSelfOth [On the job you plan to go back to\,/On your current (main) job\,] do you work for someone else\, are you self-employed\, or what? If R says\, 'I run my own business' choose 'self-employed' ... 7028 1. SOMEONE ELSE 1809 2. SELF-EMPLOYED 18 8. DK (Don't Know); NA (Not Ascertained) 1 9. RF (Refused) 13178 Blank. INAP (Inapplicable); Partial Interview
