column_id,column_description
HRS2012Q1,HOUSEHOLD IDENTIFICATION NUMBER ... 20554 000003-959738. Household Identification Number
HRS2012Q2,RESPONDENT PERSON IDENTIFICATION NUMBER ... 11338 010. Person Identifier 693 011. Person Identifier 32 012. Person Identifier 1 013. Person Identifier 6649 020. Person Identifier 204 021. Person Identifier 12 022. Person Identifier 1 023. Person Identifier 593 030. Person Identifier 47 031. Person Identifier 7 032. Person Identifier 2 033. Person Identifier 910 040. Person Identifier 58 041. Person Identifier 6 042. Person Identifier 1 043. Person Identifier
HRS2012Q3,2012 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 18993 0. Original sample household - no split from divorce or separation of spouses or partners 780 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 610 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 58 5. Split household - one half of couple from Q3 1 or 2 9 6. Split household - one half of couple from Q3 1 or 2 103 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2
HRS2012Q4,2010 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 19286 0. Original sample household - no split from divorce or separation of spouses or partners 629 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 490 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 49 5. Split household - one half of couple from Q3 1 or 2 7 6. Split household - one half of couple from Q3 1 or 2 92 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2
HRS2012Q5,2012 SPOUSE/PARTNER PERSON NUMBER ... 5797 010. Person Identifier 548 011. Person Identifier 24 012. Person Identifier 5311 020. Person Identifier 175 021. Person Identifier 7 022. Person Identifier 1 023. Person Identifier 409 030. Person Identifier 33 031. Person Identifier 5 032. Person Identifier 2 033. Person Identifier 655 040. Person Identifier 47 041. Person Identifier 5 042. Person Identifier 1 043. Person Identifier 38 811. Spouse of Non-Original Respondent 3 812. Spouse of Non-Original Respondent 8 821. Spouse of Non-Original Respondent 1 822. Spouse of Non-Original Respondent 2 831. Spouse of Non-Original Respondent 4 841. Spouse of Non-Original Respondent 1 842. Spouse of Non-Original Respondent 7477 Blank. Single Respondent Household
HRS2012Q6,2012 WHETHER COVERSHEET RESPONDENT ... 14314 1. Yes 18 3. 2nd Coverscreen R\, answers not retained 6222 5. No
HRS2012Q7,2012 WHETHER FAMILY RESPONDENT ... 14147 1. Family R 14 3. 2nd Family R\, answers not retained 6393 5. Non-Family R
HRS2012Q8,2012 WHETHER FINANCIAL RESPONDENT ... 14191 1. Financial R 16 3. 2nd Financial R\, answers not retained 6347 5. Non-Financial R
HRS2012Q9,Ref: SecJ.Q9_3Wave * ... 20554 1. Not asked this wave Blank. INAP (Inapplicable); Partial Interview
HRS2012Q10,Ref: SecJ.Q10_4Wave * ... 20554 2. Not asked this wave Blank. INAP (Inapplicable); Partial Interview
HRS2012Q11,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus[1] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? IWER: Do not probe but choose all that apply ... 7064 1. WORKING NOW 690 2. UNEMPLOYED AND LOOKING FOR WORK 146 3. TEMPORARILY LAID OFF 2322 4. DISABLED 8687 5. RETIRED 1410 6. HOMEMAKER 135 7. OTHER (SPECIFY) 38 8. (VOL:) ON SICK OR OTHER LEAVE 11 98. DK (Don't Know); NA (Not Ascertained) 14 99. RF (Refused) 37 Blank. INAP (Inapplicable); Partial Interview
HRS2012Q12,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus[2] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? IWER: Do not probe but choose all that apply ... 232 1. WORKING NOW 37 2. UNEMPLOYED AND LOOKING FOR WORK 12 3. TEMPORARILY LAID OFF 245 4. DISABLED 522 5. RETIRED 619 6. HOMEMAKER 40 7. OTHER (SPECIFY) 9 8. (VOL:) ON SICK OR OTHER LEAVE 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18838 Blank. INAP (Inapplicable); Partial Interview
HRS2012Q13,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus[3] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? IWER: Do not probe but choose all that apply ... 4 1. WORKING NOW 4 2. UNEMPLOYED AND LOOKING FOR WORK 3 3. TEMPORARILY LAID OFF 9 4. DISABLED 6 5. RETIRED 23 6. HOMEMAKER 6 7. OTHER (SPECIFY) 8. (VOL:) ON SICK OR OTHER LEAVE 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 20499 Blank. INAP (Inapplicable); Partial Interview
HRS2012Q14,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus[4] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? IWER: Do not probe but choose all that apply ... 1. WORKING NOW 2. UNEMPLOYED AND LOOKING FOR WORK 3. TEMPORARILY LAID OFF 4. DISABLED 5. RETIRED 6. HOMEMAKER 1 7. OTHER (SPECIFY) 8. (VOL:) ON SICK OR OTHER LEAVE 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 20553 Blank. INAP (Inapplicable); Partial Interview
HRS2012Q15,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus[5] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? IWER: Do not probe but choose all that apply ... 1. WORKING NOW 2. UNEMPLOYED AND LOOKING FOR WORK 3. TEMPORARILY LAID OFF 4. DISABLED 5. RETIRED 6. HOMEMAKER 7. OTHER (SPECIFY) 8. (VOL:) ON SICK OR OTHER LEAVE 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 20554 Blank. INAP (Inapplicable); Partial Interview
HRS2012Q16,Ref: SecJ.WORKSTATUS.Q16_ In what month and year did you become unemployed? IWER: Month entered must be before or in [Current Month]\, [Current Year] Month: Year: ... 65 1. JAN 47 2. FEB 58 3. MAR 54 4. APR 80 5. MAY 62 6. JUN 60 7. JUL 58 8. AUG 43 9. SEP 52 10. OCT 43 11. NOV 56 12. DEC 54 98. DK (Don't Know); NA (Not Ascertained) 2 99. RF (Refused) 19820 Blank. INAP (Inapplicable); Partial Interview
HRS2012Q17,Ref: SecJ.WORKSTATUS.Q17_ (In what month and year did you become unemployed?) IWER: Month entered must be before or in [Current Month]\, [Current Year] Month: [MO UNEMPLOYED] Year: ... 714 1970-2013. Actual Value 17 9998. DK (Don't Know); NA (Not Ascertained) 3 9999. RF (Refused) 19820 Blank. INAP (Inapplicable); Partial Interview
HRS2012Q18,Ref: SecJ.WORKSTATUS.Q18_ Do you expect to go back to this job? ... 143 1. YES 53 5. NO 14 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 20344 Blank. INAP (Inapplicable); Partial Interview
HRS2012Q19,Ref: SecJ.WORKSTATUS.Q19_ In what month and year did you last work on this job? IWER: Month entered must be before or in [Current Month]\, [Current Year] Month: Year: ... 7 1. JAN 3 2. FEB 13 3. MAR 16 4. APR 19 5. MAY 30 6. JUN 12 7. JUL 5 8. AUG 6 9. SEP 11 10. OCT 7 11. NOV 7 12. DEC 7 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 20411 Blank. INAP (Inapplicable); Partial Interview
HRS2012Q20,Ref: SecJ.WORKSTATUS.Q20_ (In what month and year did you last work on this job?) IWER: Month entered must be before or in [Current Month]\, [Current Year] Month: [MO LAST WORKED - LAID OFF] Year: ... 138 2008-2013. Actual Value 5 9998. DK (Don't Know); NA (Not Ascertained) 9999. RF (Refused) 20411 Blank. INAP (Inapplicable); Partial Interview
