column_id,column_description
HRS2014Q1,HOUSEHOLD IDENTIFICATION NUMBER ... 18747 000003-959738. Household Identification Number
HRS2014Q2,RESPONDENT PERSON IDENTIFICATION NUMBER ... 10202 010. Person Identifier 714 011. Person Identifier 34 012. Person Identifier 6106 020. Person Identifier 208 021. Person Identifier 16 022. Person Identifier 1 023. Person Identifier 511 030. Person Identifier 45 031. Person Identifier 7 032. Person Identifier 2 033. Person Identifier 836 040. Person Identifier 57 041. Person Identifier 7 042. Person Identifier 1 043. Person Identifier
HRS2014Q3,2014 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 17037 0. Original sample household - no split from divorce or separation of spouses or partners 850 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 669 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 64 5. Split household - one half of couple from Q3 1 or 2 8 6. Split household - one half of couple from Q3 1 or 2 118 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2
HRS2014Q4,2012 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 17309 0. Original sample household - no split from divorce or separation of spouses or partners 707 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 578 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 57 5. Split household - one half of couple from Q3 1 or 2 7 6. Split household - one half of couple from Q3 1 or 2 88 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2
HRS2014Q5,2014 SPOUSE/PARTNER PERSON NUMBER ... 5159 010. Person Identifier 525 011. Person Identifier 24 012. Person Identifier 4656 020. Person Identifier 174 021. Person Identifier 11 022. Person Identifier 1 023. Person Identifier 323 030. Person Identifier 27 031. Person Identifier 4 032. Person Identifier 2 033. Person Identifier 558 040. Person Identifier 40 041. Person Identifier 4 042. Person Identifier 1 043. Person Identifier 31 811. Spouse of Non-Original Respondent 2 812. Spouse of Non-Original Respondent 2 820. Spouse of Non-Original Respondent 9 821. Spouse of Non-Original Respondent 1 822. Spouse of Non-Original Respondent 3 831. Spouse of Non-Original Respondent 1 832. Spouse of Non-Original Respondent 4 841. Spouse of Non-Original Respondent 1 842. Spouse of Non-Original Respondent 7184 Blank. Single Respondent Household
HRS2014Q6,2014 WHETHER COVERSHEET RESPONDENT ... 13238 1. Yes 32 3. 2nd Coverscreen R\, answers not retained 5477 5. No
HRS2014Q7,2014 WHETHER FAMILY RESPONDENT ... 13073 1. Family R 23 3. 2nd Family R\, answers not retained 5651 5. Non-Family R
HRS2014Q8,2014 WHETHER FINANCIAL RESPONDENT ... 13098 1. Financial R 24 3. 2nd Financial R\, answers not retained 5625 5. Non-Financial R
HRS2014Q9,Ref: SecJ.Q9_3Wave * ... 18747 2. Not asked this wave Blank. INAP (Inapplicable); Partial Interview
HRS2014Q10,Ref: SecJ.Q10_4Wave * ... 18747 3. Not asked this wave Blank. INAP (Inapplicable); Partial Interview
HRS2014Q11,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus[1] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? IWER: Do not probe but choose all that apply ... 6058 1. WORKING NOW 476 2. UNEMPLOYED AND LOOKING FOR WORK 84 3. TEMPORARILY LAID OFF 2302 4. DISABLED 8432 5. RETIRED 1189 6. HOMEMAKER 133 7. OTHER (SPECIFY) 29 8. (VOL:) ON SICK OR OTHER LEAVE 6 98. DK (Don't Know); NA (Not Ascertained) 9 99. RF (Refused) 29 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q12,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus[2] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? IWER: Do not probe but choose all that apply ... 214 1. WORKING NOW 40 2. UNEMPLOYED AND LOOKING FOR WORK 9 3. TEMPORARILY LAID OFF 230 4. DISABLED 516 5. RETIRED 546 6. HOMEMAKER 47 7. OTHER (SPECIFY) 15 8. (VOL:) ON SICK OR OTHER LEAVE 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17130 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q13,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus[3] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? IWER: Do not probe but choose all that apply ... 9 1. WORKING NOW 2 2. UNEMPLOYED AND LOOKING FOR WORK 4 3. TEMPORARILY LAID OFF 4 4. DISABLED 6 5. RETIRED 15 6. HOMEMAKER 5 7. OTHER (SPECIFY) 3 8. (VOL:) ON SICK OR OTHER LEAVE 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18699 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q14,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus[4] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? IWER: Do not probe but choose all that apply ... 1. WORKING NOW 2. UNEMPLOYED AND LOOKING FOR WORK 3. TEMPORARILY LAID OFF 4. DISABLED 5. RETIRED 1 6. HOMEMAKER 7. OTHER (SPECIFY) 8. (VOL:) ON SICK OR OTHER LEAVE 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18746 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q15,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus[5] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? IWER: Do not probe but choose all that apply ... 1. WORKING NOW 2. UNEMPLOYED AND LOOKING FOR WORK 3. TEMPORARILY LAID OFF 4. DISABLED 5. RETIRED 6. HOMEMAKER 7. OTHER (SPECIFY) 8. (VOL:) ON SICK OR OTHER LEAVE 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18747 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q16,Ref: SecJ.WORKSTATUS.Q16_ In what month and year did you become unemployed? IWER: Month entered must be before or in [Current Month]\, [Current Year] Month: Year: ... 48 1. JAN 46 2. FEB 33 3. MAR 24 4. APR 44 5. MAY 42 6. JUN 28 7. JUL 34 8. AUG 34 9. SEP 30 10. OCT 38 11. NOV 51 12. DEC 61 98. DK (Don't Know); NA (Not Ascertained) 1 99. RF (Refused) 18233 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q17,Ref: SecJ.WORKSTATUS.Q17_ (In what month and year did you become unemployed?) IWER: Month entered must be before or in [Current Month]\, [Current Year] Month: [MO UNEMPLOYED] Year: ... 492 1980-2014. Actual Value 21 9998. DK (Don't Know); NA (Not Ascertained) 1 9999. RF (Refused) 18233 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q18,Ref: SecJ.WORKSTATUS.Q18_ Do you expect to go back to this job? ... 93 1. YES 35 5. NO 12 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 18607 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q19,Ref: SecJ.WORKSTATUS.Q19_ In what month and year did you last work on this job? IWER: Month entered must be before or in [Current Month]\, [Current Year] Month: Year: ... 7 1. JAN 8 2. FEB 8 3. MAR 19 4. APR 10 5. MAY 9 6. JUN 6 7. JUL 3 8. AUG 6 9. SEP 4 10. OCT 8 11. NOV 1 12. DEC 6 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 18652 Blank. INAP (Inapplicable); Partial Interview
HRS2014Q20,Ref: SecJ.WORKSTATUS.Q20_ (In what month and year did you last work on this job?) IWER: Month entered must be before or in [Current Month]\, [Current Year] Month: [MO LAST WORKED - LAID OFF] Year: ... 90 2011-2014. Actual Value 5 9998. DK (Don't Know); NA (Not Ascertained) 9999. RF (Refused) 18652 Blank. INAP (Inapplicable); Partial Interview
