column_id,column_description
HRS2016Q1,HOUSEHOLD IDENTIFICATION NUMBER ... 20912 010001-959738. Household Identification Number
HRS2016Q2,RESPONDENT PERSON IDENTIFICATION NUMBER ... 11991 010. Person Identifier 696 011. Person Identifier 33 012. Person Identifier 1 013. Person Identifier 6697 020. Person Identifier 214 021. Person Identifier 18 022. Person Identifier 1 023. Person Identifier 432 030. Person Identifier 47 031. Person Identifier 4 032. Person Identifier 1 033. Person Identifier 719 040. Person Identifier 51 041. Person Identifier 6 042. Person Identifier 1 043. Person Identifier
HRS2016Q3,2016 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 19158 0. Original sample household - no split from divorce or separation of spouses or partners 869 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 691 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 66 5. Split household - one half of couple from Q3 1 or 2 7 6. Split household - one half of couple from Q3 1 or 2 120 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2
HRS2016Q4,2014 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 14933 0. Original sample household - no split from divorce or separation of spouses or partners 773 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 627 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 55 5. Split household - one half of couple from Q3 1 or 2 6 6. Split household - one half of couple from Q3 1 or 2 99 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2 4418 Blank. New Cohort HH
HRS2016Q5,2016 SPOUSE/PARTNER PERSON NUMBER ... 5750 010. Person Identifier 503 011. Person Identifier 27 012. Person Identifier 1 013. Person Identifier 5435 020. Person Identifier 175 021. Person Identifier 14 022. Person Identifier 1 023. Person Identifier 255 030. Person Identifier 29 031. Person Identifier 1 032. Person Identifier 1 033. Person Identifier 454 040. Person Identifier 38 041. Person Identifier 3 042. Person Identifier 2 043. Person Identifier 8 810. Spouse of Original R\, Never Entered Sample 36 811. Spouse of Non-Original Respondent 3 812. Spouse of Non-Original Respondent 6 821. Spouse of Non-Original Respondent 2 822. Spouse of Non-Original Respondent 3 831. Spouse of Non-Original Respondent 2 832. Spouse of Non-Original Respondent 4 841. Spouse of Non-Original Respondent 8159 Blank. Single Respondent Household
HRS2016Q6,2016 WHETHER COVERSHEET RESPONDENT ... 15018 1. Yes 55 3. 2nd Coverscreen R\, answers not retained 5839 5. No
HRS2016Q7,2016 WHETHER FAMILY RESPONDENT ... 14561 1. Family R 25 3. 2nd Family R\, answers not retained 6326 5. Non-Family R
HRS2016Q8,2016 WHETHER FINANCIAL RESPONDENT ... 14766 1. Financial R 25 3. 2nd Financial R\, answers not retained 6121 5. Non-Financial R
HRS2016Q9,Ref: SecJ.Q9_3Wave * ... 20912 0. Asked this wave Blank. INAP (Inapplicable); Partial Interview
HRS2016Q10,Ref: SecJ.Q10_4Wave * ... 20912 0. Asked this wave Blank. INAP (Inapplicable); Partial Interview
HRS2016Q11,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus[1] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? IWER: Do not probe but choose all that apply IWER: If the respondent sometimes engages in casual work\, e.g.\, works at the polls during election time\, or works some weeks out of the year but is not employed at the time of the survey\, then the respondent is not employed. ... 7913 1. WORKING NOW 598 2. UNEMPLOYED AND LOOKING FOR WORK 125 3. TEMPORARILY LAID OFF 2632 4. DISABLED 8084 5. RETIRED 1281 6. HOMEMAKER 129 7. OTHER (SPECIFY) 34 8. (VOL:) ON SICK OR OTHER LEAVE 7 98. DK (Don't Know); NA (Not Ascertained) 18 99. RF (Refused) 91 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q12,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus[2] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? IWER: Do not probe but choose all that apply IWER: If the respondent sometimes engages in casual work\, e.g.\, works at the polls during election time\, or works some weeks out of the year but is not employed at the time of the survey\, then the respondent is not employed. ... 211 1. WORKING NOW 40 2. UNEMPLOYED AND LOOKING FOR WORK 12 3. TEMPORARILY LAID OFF 213 4. DISABLED 495 5. RETIRED 424 6. HOMEMAKER 50 7. OTHER (SPECIFY) 12 8. (VOL:) ON SICK OR OTHER LEAVE 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 19455 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q13,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus[3] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? IWER: Do not probe but choose all that apply IWER: If the respondent sometimes engages in casual work\, e.g.\, works at the polls during election time\, or works some weeks out of the year but is not employed at the time of the survey\, then the respondent is not employed. ... 9 1. WORKING NOW 1 2. UNEMPLOYED AND LOOKING FOR WORK 3. TEMPORARILY LAID OFF 6 4. DISABLED 6 5. RETIRED 12 6. HOMEMAKER 7 7. OTHER (SPECIFY) 8. (VOL:) ON SICK OR OTHER LEAVE 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 20871 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q14,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus[4] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? IWER: Do not probe but choose all that apply IWER: If the respondent sometimes engages in casual work\, e.g.\, works at the polls during election time\, or works some weeks out of the year but is not employed at the time of the survey\, then the respondent is not employed. ... 1. WORKING NOW 2. UNEMPLOYED AND LOOKING FOR WORK 3. TEMPORARILY LAID OFF 4. DISABLED 5. RETIRED 6. HOMEMAKER 7. OTHER (SPECIFY) 1 8. (VOL:) ON SICK OR OTHER LEAVE 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 20911 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q15,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus[5] Now I'm going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? IWER: Do not probe but choose all that apply IWER: If the respondent sometimes engages in casual work\, e.g.\, works at the polls during election time\, or works some weeks out of the year but is not employed at the time of the survey\, then the respondent is not employed. ... 1. WORKING NOW 2. UNEMPLOYED AND LOOKING FOR WORK 3. TEMPORARILY LAID OFF 4. DISABLED 5. RETIRED 6. HOMEMAKER 7. OTHER (SPECIFY) 8. (VOL:) ON SICK OR OTHER LEAVE 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 20912 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q16,Ref: SecJ.WORKSTATUS.Q16_ In what month and year did you become unemployed? IWER: Month entered must be before or in [Current Month]\, [Current Year] Month: Year: ... 55 1. JAN 36 2. FEB 46 3. MAR 51 4. APR 58 5. MAY 62 6. JUN 46 7. JUL 54 8. AUG 46 9. SEP 42 10. OCT 45 11. NOV 48 12. DEC 43 98. DK (Don't Know); NA (Not Ascertained) 1 99. RF (Refused) 20279 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q17,Ref: SecJ.WORKSTATUS.Q17_ (In what month and year did you become unemployed?) IWER: Month entered must be before or in [Current Month]\, [Current Year] Month: [MO UNEMPLOYED] Year: ... 615 1979-2018. Actual Value 17 9998. DK (Don't Know); NA (Not Ascertained) 1 9999. RF (Refused) 20279 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q18,Ref: SecJ.WORKSTATUS.Q18_ Do you expect to go back to this job? ... 120 1. YES 47 5. NO 14 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 20731 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q19,Ref: SecJ.WORKSTATUS.Q19_ In what month and year did you last work on this job? IWER: Month entered must be before or in [Current Month]\, [Current Year] Month: Year: ... 6 1. JAN 10 2. FEB 7 3. MAR 9 4. APR 10 5. MAY 24 6. JUN 10 7. JUL 6 8. AUG 7 9. SEP 4 10. OCT 13 11. NOV 10 12. DEC 4 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 20792 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q20,Ref: SecJ.WORKSTATUS.Q20_ (In what month and year did you last work on this job?) IWER: Month entered must be before or in [Current Month]\, [Current Year] Month: [MO LAST WORKED - LAID OFF] Year: ... 118 2013-2018. Actual Value 2 9998. DK (Don't Know); NA (Not Ascertained) 9999. RF (Refused) 20792 Blank. INAP (Inapplicable); Partial Interview
