column_id,column_description
HRS2018Q1,HOUSEHOLD IDENTIFICATION NUMBER ... 17146 010003-959738. Household Identification Number
HRS2018Q2,RESPONDENT PERSON IDENTIFICATION NUMBER ... 9738 010. Person Identifier 654 011. Person Identifier 32 012. Person Identifier 1 013. Person Identifier 5480 020. Person Identifier 180 021. Person Identifier 21 022. Person Identifier 1 023. Person Identifier 353 030. Person Identifier 44 031. Person Identifier 3 032. Person Identifier 1 033. Person Identifier 586 040. Person Identifier 47 041. Person Identifier 4 042. Person Identifier 1 043. Person Identifier
HRS2018Q3,2018 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 15501 0. Original sample household - no split from divorce or separation of spouses or partners 849 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 596 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 68 5. Split household - one half of couple from Q3 1 or 2 9 6. Split household - one half of couple from Q3 1 or 2 122 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2
HRS2018Q4,2016 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 15713 0. Original sample household - no split from divorce or separation of spouses or partners 726 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 546 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 54 5. Split household - one half of couple from Q3 1 or 2 7 6. Split household - one half of couple from Q3 1 or 2 99 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2
HRS2018Q5,2018 SPOUSE/PARTNER PERSON NUMBER ... 4657 010. Person Identifier 504 011. Person Identifier 28 012. Person Identifier 1 013. Person Identifier 4290 020. Person Identifier 141 021. Person Identifier 18 022. Person Identifier 1 023. Person Identifier 193 030. Person Identifier 27 031. Person Identifier 1 032. Person Identifier 1 033. Person Identifier 362 040. Person Identifier 40 041. Person Identifier 2 042. Person Identifier 2 043. Person Identifier 7 810. Spouse of Original R\, Never Entered Sample 45 811. Spouse of Non-Original Respondent 3 812. Spouse of Non-Original Respondent 6 821. Spouse of Non-Original Respondent 1 822. Spouse of Non-Original Respondent 4 831. Spouse of Non-Original Respondent 1 832. Spouse of Non-Original Respondent 3 841. Spouse of Non-Original Respondent 6808 Blank. Single Respondent Household
HRS2018Q6,2018 WHETHER COVERSHEET RESPONDENT ... 12465 1. Yes 85 3. 2nd Coverscreen R\, answers not retained 4596 5. No
HRS2018Q7,2018 WHETHER FAMILY RESPONDENT ... 12017 1. Family R 41 3. 2nd Family R\, answers not retained 5088 5. Non-Family R
HRS2018Q8,2018 WHETHER FINANCIAL RESPONDENT ... 12181 1. Financial R 38 3. 2nd Financial R\, answers not retained 4927 5. Non-Financial R
HRS2018Q9,Ref: SecJ.Q9_3Wave * ... 17146 1. Not asked this wave Blank. INAP (Inapplicable); Partial Interview
HRS2018Q10,Ref: SecJ.Q10_4Wave * ... 17146 1. Not asked this wave Blank. INAP (Inapplicable); Partial Interview
HRS2018Q11,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus Now we're going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? INSTR: Do not probe but select all that apply INSTR: If the respondent sometimes engages in casual work\, For example\, R works at the polls during election time\, or works some weeks out of the year but is not employed at the time of the survey\, then the respondent is not employed. WEB-ADMINISTERED TEXT: Now we're going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? INSTR: Select all that apply. INSTR: If you sometimes engage in casual work\, for example\, you work at the polls during election time\, occasionally do odd jobs\, or work some weeks out of the year but are not employed at the time of the survey. We do not consider this working now. ... 14 -8. Web non-response 6011 1. WORKING NOW 377 2. UNEMPLOYED AND LOOKING FOR WORK 75 3. TEMPORARILY LAID OFF 2139 4. DISABLED 7283 5. RETIRED 973 6. HOMEMAKER 169 7. OTHER (SPECIFY) 16 8. (VOL:) ON SICK OR OTHER LEAVE 13 98. DK (Don't Know); NA (Not Ascertained) 15 99. RF (Refused) 61 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q12,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus Now we're going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? INSTR: Do not probe but select all that apply INSTR: If the respondent sometimes engages in casual work\, For example\, R works at the polls during election time\, or works some weeks out of the year but is not employed at the time of the survey\, then the respondent is not employed. WEB-ADMINISTERED TEXT: Now we're going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? INSTR: Select all that apply. INSTR: If you sometimes engage in casual work\, for example\, you work at the polls during election time\, occasionally do odd jobs\, or work some weeks out of the year but are not employed at the time of the survey. We do not consider this working now. ... 220 1. WORKING NOW 28 2. UNEMPLOYED AND LOOKING FOR WORK 9 3. TEMPORARILY LAID OFF 177 4. DISABLED 394 5. RETIRED 380 6. HOMEMAKER 84 7. OTHER (SPECIFY) 10 8. (VOL:) ON SICK OR OTHER LEAVE 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 15844 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q13,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus Now we're going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? INSTR: Do not probe but select all that apply INSTR: If the respondent sometimes engages in casual work\, For example\, R works at the polls during election time\, or works some weeks out of the year but is not employed at the time of the survey\, then the respondent is not employed. WEB-ADMINISTERED TEXT: Now we're going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? INSTR: Select all that apply. INSTR: If you sometimes engage in casual work\, for example\, you work at the polls during election time\, occasionally do odd jobs\, or work some weeks out of the year but are not employed at the time of the survey. We do not consider this working now. ... 4 1. WORKING NOW 2 2. UNEMPLOYED AND LOOKING FOR WORK 3. TEMPORARILY LAID OFF 11 4. DISABLED 6 5. RETIRED 16 6. HOMEMAKER 8 7. OTHER (SPECIFY) 8. (VOL:) ON SICK OR OTHER LEAVE 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17099 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q14,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus Now we're going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? INSTR: Do not probe but select all that apply INSTR: If the respondent sometimes engages in casual work\, For example\, R works at the polls during election time\, or works some weeks out of the year but is not employed at the time of the survey\, then the respondent is not employed. WEB-ADMINISTERED TEXT: Now we're going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? INSTR: Select all that apply. INSTR: If you sometimes engage in casual work\, for example\, you work at the polls during election time\, occasionally do odd jobs\, or work some weeks out of the year but are not employed at the time of the survey. We do not consider this working now. ... 1 1. WORKING NOW 2. UNEMPLOYED AND LOOKING FOR WORK 3. TEMPORARILY LAID OFF 4. DISABLED 1 5. RETIRED 6. HOMEMAKER 7. OTHER (SPECIFY) 8. (VOL:) ON SICK OR OTHER LEAVE 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17144 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q15,Ref: SecJ.WORKSTATUS.Q11CurrEmpStatus Now we're going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? INSTR: Do not probe but select all that apply INSTR: If the respondent sometimes engages in casual work\, For example\, R works at the polls during election time\, or works some weeks out of the year but is not employed at the time of the survey\, then the respondent is not employed. WEB-ADMINISTERED TEXT: Now we're going to ask you some questions about your current employment situation. Are you working now\, temporarily laid off\, unemployed and looking for work\, disabled and unable to work\, retired\, a homemaker\, or what? INSTR: Select all that apply. INSTR: If you sometimes engage in casual work\, for example\, you work at the polls during election time\, occasionally do odd jobs\, or work some weeks out of the year but are not employed at the time of the survey. We do not consider this working now. ... 1. WORKING NOW 2. UNEMPLOYED AND LOOKING FOR WORK 3. TEMPORARILY LAID OFF 4. DISABLED 5. RETIRED 6. HOMEMAKER 7. OTHER (SPECIFY) 8. (VOL:) ON SICK OR OTHER LEAVE 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17146 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q16,Ref: SecJ.WORKSTATUS.Q16_ In what month and year did you become unemployed? INSTR: Month entered must be before or in [Current Month]\, [Current Year] Month: Year: ... 3 -8. Web non-response 25 1. JAN 28 2. FEB 24 3. MAR 25 4. APR 43 5. MAY 40 6. JUN 28 7. JUL 29 8. AUG 36 9. SEP 28 10. OCT 33 11. NOV 32 12. DEC 29 98. DK (Don't Know); NA (Not Ascertained) 3 99. RF (Refused) 16740 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q17,Ref: SecJ.WORKSTATUS.Q17_ (In what month and year did you become unemployed?) INSTR: Month entered must be before or in [Current Month]\, [Current Year] Month: [MO UNEMPLOYED] Year: ... 4 -8. Web non-response 387 1959-2019. Actual Value 14 9998. DK (Don't Know); NA (Not Ascertained) 1 9999. RF (Refused) 16740 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q18,Ref: SecJ.WORKSTATUS.Q18_ Do you expect to go back to this job? ... 77 1. YES 27 5. NO 3 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 17039 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q19,Ref: SecJ.WORKSTATUS.Q19_ In what month and year did you last work on this job? INSTR: Month entered must be before or in [Current Month]\, [Current Year] Month: Year: ... 3 1. JAN 5 2. FEB 6 3. MAR 11 4. APR 11 5. MAY 12 6. JUN 6 7. JUL 3 8. AUG 4 9. SEP 4 10. OCT 8 11. NOV 4 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 17069 Blank. INAP (Inapplicable); Partial Interview
HRS2018Q20,Ref: SecJ.WORKSTATUS.Q20_ (In what month and year did you last work on this job?) INSTR: Month entered must be before or in [Current Month]\, [Current Year] Month: [MO LAST WORKED - LAID OFF] Year: ... 77 2017-2019. Actual Value 9998. DK (Don't Know); NA (Not Ascertained) 9999. RF (Refused) 17069 Blank. INAP (Inapplicable); Partial Interview
